epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,7135.32,1.13837,0.78794,0.94101,0.97756,0.88067,0.93636,0.72219,0.73284,0.54018,0.72484,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,7281.97,1.1172,0.76326,0.93465,0.96766,0.87152,0.93294,0.73086,0.72227,0.5254,0.72172,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,7427.78,1.13369,0.77406,0.94272,0.96843,0.8856,0.93741,0.73856,0.694,0.51567,0.71812,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,7573.04,1.09367,0.74017,0.92946,0.97445,0.88565,0.93703,0.7424,0.6922,0.51769,0.71808,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,7719.06,1.07973,0.74014,0.92046,0.96595,0.89151,0.94019,0.74556,0.68687,0.51263,0.71605,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,7865.13,1.10023,0.74476,0.92894,0.97231,0.89212,0.941,0.74899,0.67702,0.53878,0.71663,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,8011.36,1.07127,0.72314,0.92431,0.97656,0.89774,0.94393,0.75053,0.66814,0.50796,0.71537,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,8157.76,1.05628,0.70658,0.9219,0.98315,0.88855,0.94485,0.75459,0.66099,0.49498,0.71389,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,8304.22,1.04986,0.71588,0.91444,0.97261,0.8993,0.94562,0.75904,0.66105,0.50825,0.71209,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,8450.39,1.03189,0.70339,0.91108,0.98018,0.89515,0.94583,0.76375,0.64207,0.47715,0.70869,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,8596.36,1.01886,0.68651,0.90962,0.97888,0.90239,0.9486,0.76839,0.64295,0.47784,0.70886,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,8742.22,1.03084,0.6919,0.91443,0.98265,0.9014,0.94748,0.76748,0.64177,0.46489,0.70746,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,8887.53,1.02442,0.69287,0.91248,0.97288,0.9088,0.94719,0.77581,0.62153,0.46552,0.70695,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,9033.83,0.99949,0.67469,0.90517,0.9726,0.91255,0.95024,0.77469,0.62596,0.46048,0.70571,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,9179.71,0.99906,0.67184,0.90236,0.9803,0.8999,0.95075,0.77741,0.61238,0.46821,0.70368,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,9326.08,0.97627,0.65175,0.89861,0.97973,0.90125,0.95088,0.78188,0.60679,0.45743,0.70314,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,9472.6,0.97365,0.64746,0.89855,0.98432,0.90884,0.95331,0.78482,0.59728,0.44127,0.70167,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,9618.42,0.97412,0.65591,0.89606,0.98115,0.90781,0.95333,0.78873,0.59051,0.42686,0.69963,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,9763.86,0.95196,0.62693,0.89144,0.98054,0.90612,0.95358,0.79298,0.58829,0.4387,0.69853,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
